id,review,sentiment
19322192,francis great host apartment right center everything would definite recommend apartment clean spacious everything needed thank great stay,positive
779807771522311042,perfect would stay,positive
33133598,doross apartment perfect place stay athens doros lovely host boyfriend stayed four nights doross apartment upon arrival waiting us check us give us important information visit city example ate one restaurants recommended every night apartment comfortable located walking distance historical city local area find lot nice cafes restaurants bars thank doros taking good care us hope see soon,positive
883294892102568692,one best places go visit athens close acropolis close many restaurants house really amazing pictures cant see properly terrace room closed partially enjoy unbelievable terrace views whole year problem maybe bathroom small good enough days couples dont look get apartment,positive
33391877,close center athens would wanted exception riot one night loud rock concert another quiet comfortable restaurants yagos recommended tried terrific saved kinds wasted time bad food terrace wonderful spent early mornings late afternoons bed double small mature people slept living room mattress comfortable highly recommend apartment yagos host,positive
816911273886342022,katerina helpful every aspect trip always kept touch directions place easy follow left us things breakfast map showed us great sights see great restraunts eat home beautiful really enjoyed stay br brthank much katerina,positive
39241951,nice clean apartment promised got meet george welcomed us showed us around square outside everything need wonderful stay athens,positive
52560491,highly recommend staying hariss apartment athens haris amazing host always kind always avaliable helpful speaks perfect englishbrthe apartment ideal families big group friends superfancy good thing dont freak every time kid touches wall someting really nice well equipped clean beds comfy terrace wonderful really special area good starting point explore city thank haris,positive
605426831514581714,im almost sad write great review im afraid come back athens ralous place wont available due soaring popularity five stars insufficient characterize experience rental seeking perfect balance location value athens stay grab apartment confident youll receive ritz carlton level service hostess price star hotel take offer arrange taxi airport arranged long taxi rides via ralou airport pickups apartment conference center km away time professional reasonably priced price negotiated advance took away much stress country uber hailing passing cab roulette wheel experience,negative
715581937142589474,amazing flat stay ralou exceptional host worked extra hard make sure could check early check later great great responding went beyond preparations br brthe flat absolutely best location could imagine couple streets away plaka makes quiet close acropolis museum plus metro theres delicious bakery across street including wellstocked grocery store also road tzatzos great bakery open sundays rare garden back cant beat every night even wear sweaters march wifi fast reliable bed nice comfortable br brthe kitchen utensils plates equipment would need including oil balsamic spices bathroom hairdryer plenty soap shampoo etc br brshe provided copious amounts suggestions nearby restaurantsbarsstores well worth visiting booklets provided actually never take metro everything stayed would recommend anyone loved hope come back,positive
30588215,yagos fantastic host recommended another friend pleasant stay communication fast clear plus always available give good advice regards specific places around athens yagos friendly personable friend great stay,positive
10188217,anna amazing host apartment well located city centre nice anna put lot love bri totally recommend well come back thank annabrnuestra primera vez en grecia fue involvidable anna tambin form parte de esta maravillosa experiencia besos desde espaa,positive
32183809,doros fantastic host could welcoming helpful gave lots advice local neighborhood generally visit city cosy th floor apartment great place explore athens bus stop metro station close plenty shops around corner apartment well furnished comfortable also quite old minor problems however doros always easily contactable case anything went wrong br brin conclusion wonderful experience athens owe host return certainly hope soon certainly staying,positive
40347946,terrific location right square near coffee grocery pastries tavernas bright modern apartment nice balcony overlooking street great value loved stay athens brfuture travelers check hosts whether current construction building renovated quite loud times,positive
53619270,good place great apartment clear instructions great location restaurants touristy things great access metro fromto airport quality apartment high great folks,positive
733747289778432412,nice week thelmas little apartment kato patissia rooms bedroom kitcheneatingsofaroom clean bathroom towels didnt bring four people flat might little small longer stay br brthe metrostation close supermarkets bakeries around corner athens people wonderful definitely want come back,positive
658501236677958168,location fantastic however front door building difficult open roommates found struggling washer dryer clean convenient laundromat walking distance difficulty reaching host check instructions air bnb team helpful,neutral
908729157536310596,dimitris great place center located convenient apartment cool cleanmy family good time,positive
34601783,awesome location one block acropolis museum whole apartment perfect family,positive
651435294639891351,dear dorosbrbrfrom beginning happily surprised appartement looked like photos nice cosy fully equiped like discribed information youre helpfull interglot nice person everything clean felt like coming home best thing many tips local restaurants bars also informations interesting things visit athens also enjoyed great music collection thanks everything wonderfull time capital greece also brbrwe really recommand appartement peoplebrbrkind regardsbrbrcline wouter,positive
593231936879652552,ilias excellent host felt supported whole stay whatever needed house super clean stylish house inspires everyone brthe location although quiet street bit noisy light sleep hear noise larger avenue close cars passing middle night house street level brthere one air conditioner living room needed leave door open main bedroom get cold air second bedroom doesnt air con brthe neighbourhood offers great options food within less min walk min walk youre akropolis museum excellent experience athens grateful ilias house,positive
791912215483682235,shown pictures great place attention detail minutes away walk foot acropolis metro station town center great communication ralou throughout stay lot good options eat drink around place house quiet street house well stocked basic necessities well lots books including travel ones athens greece,positive
836234565920881545,ralou one best best hosts ever made feel comfortable like home welcome gift waiting arranged round trip transportation airport communication absolutely seamless place stylish authentic immaculate super high speed wifi amenities excellent condition patio ideal morning coffee evening drinks location cant better heart athens surrounded signature bars bakeries coffee shops restaurants minutes away acropolis metro station would stay ralous without doubt,positive
580453034271468344,hostess made sure comfortable everything needed stay appartment clean comfortable located perfectly within walking distance main city centre highly recommend appartment would definetly stay,positive
24407807,well located close attractions athens apartment nice cosy good decorated highly recommended br brefi gave us amazing tips enjoy city thanks lot ideas,positive
44524818,enjoyable stay apartment great within minutes walking distance downtown athens,positive
643915133577626083,apartment good situation next exarchia neighborhood lot young people students artist alternatives coffee bars romanos brother explained us apartment city made us present tipicical greek food drink taste would repeat without doubts,positive
17042354,central apartment walking distance everything including acropolis metro stops countless restaurants bars etc br brthe apartment modern wonderful br brit bit noisy night otherwise complaints,positive
13110148,lovely place homey thoughtful hosting well equipped kitchen relatively quiet access exarcheia means good food many great restaurants cafes didnt get meet george fani communications excellent blackbirds street home made olive oil made special,positive
841375201043266848,great comfortable appartment closed public transport timmi daughter kind gave us wonderful tips city love stay athens hope stay,positive
52993517,evi wonderful house lovely neighbor hood house made us feel like leaving exploring athens communicative gave us information needed front wonderful experience highly recommend place,positive
596223391196764031,ralou wonderful host communication best ever airbnb brthe apartment great location central time quiet bri would highly recommend place,positive
40873225,flat great flat spacious calm nice decorated nice terrasse marvellous view roofs athens good location nice calm area close nice street restaurants close metro tramway possible walk acropolis also cheap take taxi highly recommend flat soula nice good communication arrived late eleni friend waited us,positive
908446001489807466,one best air bnbs ever stayed view alone breathtaking great location felt right home bar nearby noise never bothered us thank much help advise stay hope come back one day,positive
29792711,nice place nice house owners brthe room clean lovely brthe location great everything finebrthe best place greece,positive
588027880147047635,previous comments pictures room dont lie place lovely cosy hood great romanos foods mum really sweet welcoming probably best place stay athens,positive
731813072052928154,stay romanos place really perfect romanos gave us really good advices go athens mum incredibly welcoming fresh fruits greek food thank much days,positive
27665814,great location,positive
41362941,neighbourhood bit centre quiet day short cheap taxi ride take anywhere centre many fringe theatres boutiques gorgeous restaurant ill come would love stay neighbourhood communication george terry smooth fast apartment beautiful view say good things brlots chic restaurants cafe anywhere go bars clubs across road br,positive
667144772166062747,photos match apartment listing contains several inaccuracies amenities found rancid coffee explicitly promised rancid vinegar view roofdeck great apartment would work best fit couple stairs friend okay theres privacy spaces small apartment reason would stay jul condescending report internet working even sent photo evidence finally theres undisclosed camera reported airbnb knows anymore,neutral
41754920,marias apartment perfectbrright ground floorbrvery nice apartment nice showerbrdanilo hand us keys answer questionsbrthe bakery right front apartment really nice min walk acropolis ate restaurant across acropolis museum called gods restaurant good food excellent service brwe would definitely stay marias place futurebrthank letting us stay place mariabr,positive
133906,angeliki welcoming communicated promptly helpfully room nice clean fully functional strefi hill quite attraction overall everything perfectly fine without problems nothing complain ran angeliki around town shouted name say hello nice chat angeliki good hostess good room advertised,positive
656223311708705366,place exactly described great location bohemian part city beautiful space plantfilled patios clean comfortable room close local life bars good restaurants added picked dropped airport treated traditional home cooked greek food arrival recommend friends hope visit one day,positive
27157354,stathiss place extremely convenient terms siteseeing athens neighborhood offered lots variety restaurants bars close acropolis various museums fact pedestrian street nice aware need drag luggage front door take taxi airport brthe apartment clean exactly like pictures could easily sleep people two people sleep double beds stathis wonderful stay late waiting arrival really made huge difference trip brone wonderful perk apartment tied travel agency top floor building able book rental car us offered wealth recommendations day trips restaurants area nice insider tips stathis brhighly recommend,positive
34652704,thank much welcoming us apartment everything great especially enjoyed breakfasts patio loved able walk beautiful sites athens thanks,positive
54135537,amazing apartment everything need amazing balcony sauna view acropolis unbeatable,positive
14146634,stay pygmalions place absolutely wonderful everything went smooth arrived late pygmalion waited apartment met personally showed apartment even arranged taxi needed next morning brthe apartment looked exactly pictures facilities described brthe host friendly stayed touch throughout stay met coffee well brthe neighbourhood calm friendly subway station minutes away broverall pleasure stay pygmalions place id glad come,positive
15900818,annas apartment great little place heart athens easy find close transport everything need doorstepbrbranna helpful communicative well great person really enjoyed stay,positive
37120993,thelma host welcoming helpful thelma quick return messages arrival met apartnent lift taking tp apartment handy heavy luggage showed around apartment clean tidy bright thelma print table places interest left settle apartment said thst could contact needed anything really reassuring apartments location easy access transport discovered supermarket around corner next morning like self cater ideal would like stay longer nights availabilities book another apartment remaining trip thoroughly recommended good location affordable clean tidy,positive
658660903721522872,elpidoforos lovely appartment big balcony great host provided us lots super useful information big help find nice spots athens even picked us bus stop invited us concert area appartment located vibrant interesting fun weekend id definetely recommend appartment everyone,positive
38021724,apartment beautiful spacious location perfect good restaurants bars shopping also contact boutique athens uncomplicated fast,positive
33853797,beautiful stay yagos place even though winterly cold ac battle cold flat clean cosy enough space people terrace amazing even see acropoliswe enjoyed coffee sun morning lunch evening sun day long beautiful plants yagos perfect host even though wasnt town everything went smoothly would come back definitely dedicated chef might take challenge cooking two plates small oven creative assured works,positive
33415022,even havent seen yagos gave us necessary information needed rooftop fantastic breakfast drink last glass going sleep area also nice lot restaurantsbarscaf terraces restaurants recommended yagos delicious exactly looking thanks lot hope see,positive
50100680,apartment really take breath away amazing view seen anywhere athens ever fotis sweet seems honest genuine appreciate much comes meeting anyone life location amazing apartment perfect right midst things athens station right feet go anywhere well center lots shopping home set perfectly need even big market minutes away foot say saw photos could believe place could amazing view especially feel price would get star hotel recommend home anyone coming athens view alone looking forward staying say photos justice amazing possible spent evenings sitting looking window thinking beautiful athens night thank fotis pleasure meet home give many people lots smiles happiness,positive
752872637029309343,highly recommend ralous place wonderful time staying breverything described communication excellentbrif youre looking somewhere close major sites place,positive
8498718,everything perfect apartment near souper market metro public serviceapartment clean everything need great time toula kind person happy help us questions hope visit apartment,positive
22359269,stayed one night francis appartment everything perfect communication good sent us mail arrive explain evertyhing clear simple francis really helpful us appartment perfectly located perfectly equiped brthank,positive
659434739818067274,jul friendly helped us set transportation airport helped additional rides home sparking clean uniquely set kitchen amenities pretty basic could use appliances toaster microwave overall great trip see acropolis distance clearly really nice balcony hang see athens would recommend place going athens,positive
9958511,traveled alone athens couple days place looking neighborhood anything may need house subway station pretty close city center parking way find interior bit old taken care small touches makes comfy stay host kind helpful,neutral
43823393,athens many times best everything perfect,positive
934728964338298685,others said yans place great flat nights stop athens recently renovated modern comfortable warm wifi good great location well walk square highly recommended,positive
712068955239094575,spent new years holiday great time location perfect walking distance everything balconyterrace favorite part huge great view acropolis especially watch nye fireworks,positive
41358032,flat amazing would stay balconies terraces nearly amount total size flat everything nicely though unlike reviews none us trouble sleeping sofa bed living room bed noise problem personally didnt trouble closed glass doors superb job noise cancellation seen airbnb listings state actually still two different areas sit chill well,positive
770701835525740425,good stay en athens apartment located one nicest areas city able walk around parthenon area good public transportation connectivity calm area rest hard day comfortable sense courtesy welcome file suggest good things like coffee shop bakery front apartment house nice well distributed felt like friends house recommend,positive
7209432,soulas flat exactly described location outstanding apartment well furninshed quite comfortable soula always available communicating quite easy would recommend place anyone traveling athens,positive
54045329,ideal athens experience loved location busy great shopping streets local flavor around walked top tallest hill athens couple blocks away acropolis apartment lovely perfect three usall friends cooked multiple times needed highly recommend,positive
24726954,lovely flat brilliant location francis fotios sent info needed check arrival easy comfortable bed appreciated air con round good experience,positive
